[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3884591358.92161,02/03/2023,1:09 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1038,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM266,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC261,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI280,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Nb-Y-[Ho8-Er6]_10-TaN,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3884593584.68475,1.99992525577545,70000.359375,0.00373971170121855,1.46750361886573E-6,1,2,14.4053468704224,4.99995089566352,34.5899984240532,4.59671837206609,0.705185440416884,10,-2.79023765412043E-6,,,,,,,,,,,,,,,,,,,,,1.99992525577545,1.99992525577545,70000.359375,70000.359375,53.6013481490345,5.938867672217,2.83927893638611,29,1,0,0,1,0.343170166015625,32.7468223571777,1,1,1,1.99992525577545,0,742397504,1.99992525577545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593678.40604,1.99983108043671,60000.2109375,0.00385511639510796,1.81998815626889E-6,1,2,14.4053468704224,4.99987631782491,34.5899984240532,4.73838713670055,0.727477047896913,10,-2.4327136809513E-6,,,,,,,,,,,,,,,,,,,,,1.99983108043671,1.99983108043671,60000.2109375,60000.2109375,53.3824921636499,5.93846831573151,2.79581642150879,29,1,0,0,1,0.3424072265625,31.2805480957031,1,1,1,1.99983108043671,0,742397536,1.99983108043671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593708.86573,2.00029337406158,50000.26953125,0.00395811099692368,8.12845472126232E-7,1,2,14.4053468704224,4.99996301913383,34.5899984240532,4.86450647064026,0.750760969177068,10,6.18869464027313E-7,,,,,,,,,,,,,,,,,,,,,2.00015115737915,2.00043559074402,50000.26953125,50000.26953125,53.1671535066018,5.93782659045549,2.79267311096191,29,1,0,0,1,0.341644287109375,31.2805480957031,1,1,1,2.00015115737915,0,742397216,2.00029337406158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593740.53952,1.99980872869492,40000.3671875,0.00404599781342861,8.67324301867606E-7,1,2,14.4053468704224,4.99991960378703,34.5899984240532,4.97308829077588,0.763339813716776,10,-2.68871147920014E-6,,,,,,,,,,,,,,,,,,,,,1.99979066848755,1.99982678890228,40000.3671875,40000.3671875,52.8306624290729,5.93679332759699,2.77770400047302,29,1,0,0,1,0.342178344726562,32.2580642700195,1,1,1,1.99982678890228,0,742397216,1.99980872869492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593770.82009,1.99997413158417,30000.2578125,0.00409945799452507,2.04354224644136E-6,1,2,14.4053468704224,4.99987221607661,34.5899984240532,5.03906965419138,0.771223601863249,10,-4.50787947656345E-6,,,,,,,,,,,,,,,,,,,,,1.99987101554871,2.00007724761963,30000.2578125,30000.2578125,52.8357430144479,5.93648446278307,2.780198097229,29,1,0,0,1,0.345687866210937,31.2805480957031,1,1,1,2.00007724761963,0,742397408,1.99997413158417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593802.13315,1.99995982646942,20000.330078125,0.00409141580714687,1.51061317503156E-5,1,2,14.4053468704224,4.99980337416136,34.5899984240532,5.02684364343896,0.784251252677106,10,7.34450160954093E-6,,,,,,,,,,,,,,,,,,,,,1.99980401992798,2.00011563301086,20000.330078125,20000.330078125,52.2694531522652,5.93507904320662,2.76937913894653,29,1,0,0,1,0.342178344726562,31.2805480957031,1,1,1,2.00011563301086,0,742397120,1.99995982646942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593832.741,2.00031185150146,10000.255859375,0.00372703746123496,2.23998201865113E-5,1,2,14.4053468704224,4.99988694626398,34.5899984240532,4.57938124319304,0.713658939463377,10,6.06865384518076E-6,,,,,,,,,,,,,,,,,,,,,2.00031161308289,2.00031208992004,10000.255859375,10000.255859375,52.3198681917555,5.93499047065499,2.76127648353577,29,1,0,0,1,0.346832275390625,31.2805480957031,1,1,1,2.00031208992004,0,742396864,2.00031185150146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593853.25551,2.00016641616821,10000.2197265625,0.00373112281555221,1.75239392831021E-5,1,2,14.4053468704224,4.99985542638946,34.5899984240532,4.58141531626172,0.733538704431025,10,2.16195921722793E-5,,,,,,,,,,,,,,,,,,,,,2.00016641616821,2.00016641616821,10000.2197265625,10000.2197265625,52.2889938652459,5.93468672061574,2.76146674156189,29,1,0,0,1,0.34515380859375,29.8142719268799,1,1,1,2.00016641616821,0,742397216,2.00016641616821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593863.56399,2.00018298625946,9900.31640625,0.0037196103468805,1.92716420127652E-5,1,2,14.4053468704224,4.99986662053713,34.5899984240532,4.56835354818284,0.724401949274876,10,1.59583194173011E-5,,,,,,,,,,,,,,,,,,,,,1.99999928474426,2.00036668777466,9900.31640625,9900.31640625,52.1596343453132,5.93512799305833,2.76203775405884,29,1,0,0,1,0.341720581054687,31.7693061828613,1,1,1,2.00036668777466,0,742397312,2.00018298625946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593876.18748,2.00028300285339,9800.3271484375,0.00374079645128959,2.33138296753622E-5,1,2,14.4053468704224,4.99984240483908,34.5899984240532,4.59033855037814,0.754496037454777,10,3.71828803191974E-5,,,,,,,,,,,,,,,,,,,,,2.00025629997253,2.00030970573425,9800.3271484375,9800.3271484375,52.2893846795055,5.93462531963341,2.76308846473694,29,1,0,0,1,0.342864990234375,31.7693061828613,1,1,1,2.00030970573425,0,742397504,2.00028300285339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
