[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3884671344.65497,02/04/2023,11:22 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1038,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM266,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC261,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI280,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Nb-Y-[Ho8-Er6]_10-TaN,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3884674049.02552,1.9998607635498,9.63425254821777,7.47398727989259E-6,2.18851696700586E-8,1,3,14.4053468704224,4.97859948625666,34.5799997448921,0.00913988377663988,0.00135024238068323,1,-4.70867619147638E-8,,,,,,,,,,,,,,,,,,,,,1.9998607635498,1.9998607635498,9.63425254821777,9.63425254821777,51.9446865025247,5.93309304644541,2.771897315979,43,1,0,0,1,0.340652465820313,27.8592376708984,1,1,1,1.9998607635498,0,742397568,1.9998607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884674279.06885,6.96652340888977,9.63425254821777,6.95254965664415E-6,7.32632582436179E-9,1,3,14.4053468704224,4.97862438107592,34.5799997448921,0.00849535585161227,0.0013009662980357,1,-7.03571184864446E-9,,,,,,,,,,,,,,,,,,,,,6.96649122238159,6.96655559539795,9.63425254821777,9.63425254821777,52.0193320261113,5.93553083010351,4.5723352432251,43,1,0,0,1,0.342254638671875,29.3255138397217,1,1,1,6.96649122238159,0,742397696,6.96652340888977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884674452.67607,11.9333267211914,9.63425254821777,7.38068671311065E-6,6.61350596075545E-9,1,3,14.4053468704224,4.9786715360376,34.5799997448921,0.0090210506791048,0.00136531965657599,1,-2.03836405928864E-8,,,,,,,,,,,,,,,,,,,,,11.9332361221313,11.9334173202515,9.63425254821777,9.63425254821777,52.0658389230055,5.93369237799472,5.33515548706055,43,1,0,0,1,0.3399658203125,32.2580642700195,1,1,1,11.9332361221313,0,742397600,11.9333267211914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884674622.72897,16.9002513885498,9.63425254821777,7.2178935226536E-6,6.45302483134264E-9,1,3,14.4053468704224,4.97876806553794,34.5799997448921,0.00882233538280182,0.00133511317537362,1,-2.00390482276814E-8,,,,,,,,,,,,,,,,,,,,,16.9001884460449,16.9003143310547,9.63425254821777,9.63425254821777,52.3261212199094,5.93456032925657,5.72156763076782,43,1,0,0,1,0.340347290039063,30.7917900085449,1,1,1,16.9001884460449,0,742397440,16.9002513885498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884674795.77125,21.8664312362671,9.63425254821777,7.01634881412896E-6,6.18508542707407E-9,1,3,14.4053468704224,4.97876872968648,34.5799997448921,0.0085773940213157,0.00128873656784812,1,-2.69249494013035E-8,,,,,,,,,,,,,,,,,,,,,21.8662757873535,21.8665866851807,9.63425254821777,9.63425254821777,52.1514272458613,5.93431540667684,5.97038888931274,43,1,0,0,1,0.342788696289063,31.2805480957031,1,1,1,21.8665866851807,0,742397696,21.8664312362671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884674970.77802,26.833438873291,9.63425254821777,6.06119454855442E-6,5.64388474509782E-9,1,3,14.4053468704224,4.97885590555487,34.5799997448921,0.00740771636699068,0.00112756474910622,1,-1.16045222856197E-8,,,,,,,,,,,,,,,,,,,,,26.8334102630615,26.8334674835205,9.63425254821777,9.63425254821777,52.1525996886401,5.93430698481881,6.15711879730225,43,1,0,0,1,0.339279174804687,30.7917900085449,1,1,1,26.8334102630615,0,742397376,26.833438873291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884675147.88749,31.8002614974976,9.63425254821777,4.31142307566091E-6,6.02061199557471E-9,1,3,14.4053468704224,4.97887140135366,34.5799997448921,0.00526994700071249,0.00079752521522129,1,-1.19644386406607E-8,,,,,,,,,,,,,,,,,,,,,31.8002471923828,31.8002758026123,9.63425254821777,9.63425254821777,52.0658389230055,5.93389950750585,6.2986307144165,43,1,0,0,1,0.343856811523438,31.2805480957031,1,1,1,31.8002471923828,0,742397632,31.8002614974976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884675326.4374,36.7673377990723,9.63425254821777,4.09928363279398E-6,5.66655676485322E-9,1,3,14.4053468704224,4.97888699225731,34.5799997448921,0.00501067977817962,0.000758199214113863,1,-1.14476459050319E-8,,,,,,,,,,,,,,,,,,,,,36.7671928405762,36.7674827575684,9.63425254821777,9.63425254821777,52.108046863044,5.9341925632931,6.41908264160156,43,1,0,0,1,0.341949462890625,30.7917900085449,1,1,1,36.7674827575684,0,742397344,36.7673377990723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884675506.40689,41.7322425842285,9.63425254821777,4.01016422177653E-6,5.57416008379707E-9,1,3,14.4053468704224,4.97890551650496,34.5899984240532,0.00490170891060885,0.00074212808053854,1,-1.08644781696522E-8,,,,,,,,,,,,,,,,,,,,,41.7318725585937,41.7326126098633,9.63425254821777,9.63425254821777,52.0857704502459,5.93475726236789,6.51216316223145,43,1,0,0,1,0.3424072265625,30.7917900085449,1,1,1,41.7326126098633,0,742397536,41.7322425842285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884675687.53722,46.6961803436279,9.63425254821777,3.94156778646374E-6,5.77171631624998E-9,1,3,14.4053468704224,4.97886592071376,34.5899984240532,0.00481637291151656,0.00073873676722254,1,-3.05759041384078E-9,,,,,,,,,,,,,,,,,,,,,46.6953315734863,46.6970291137695,9.63425254821777,9.63425254821777,52.2073136849863,5.93424811115754,6.6215968132019,43,1,0,0,1,0.340347290039063,30.3030319213867,1,1,1,46.6970291137695,0,742397536,46.6961803436279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
